-nan -nan
109.864 2.09263e+06
109.445 2.11746e+06
109.029 2.11868e+06
108.615 2.11141e+06
108.203 2.11087e+06
107.793 2.10078e+06
107.385 2.06861e+06
106.978 2.06968e+06
106.574 2.11119e+06
106.171 2.08621e+06
105.771 2.07162e+06
105.372 2.08252e+06
104.975 2.0999e+06
104.58 2.07538e+06
104.187 2.07774e+06
103.796 2.08338e+06
103.406 2.07322e+06
103.019 2.09669e+06
102.633 2.09724e+06
102.249 2.09592e+06
101.867 2.07429e+06
101.486 2.08066e+06
101.107 2.10607e+06
100.731 2.10574e+06
100.355 2.07291e+06
99.9821 2.11007e+06
99.6104 2.10585e+06
99.2405 2.11386e+06
98.8723 2.07526e+06
98.5058 2.09232e+06
98.1409 2.08445e+06
97.7778 2.10685e+06
97.4164 2.07903e+06
97.0566 2.1031e+06
96.6985 2.08109e+06
96.342 2.08067e+06
95.9872 2.09341e+06
95.634 2.06925e+06
95.2824 2.07259e+06
94.9324 2.0701e+06
94.5841 2.06476e+06
94.2373 2.11881e+06
93.8921 2.08469e+06
93.5485 2.07193e+06
93.2065 2.11825e+06
92.8661 2.09605e+06
92.5272 2.07171e+06
92.1898 2.0772e+06
91.854 2.10452e+06
91.5197 2.10387e+06
91.1869 2.10054e+06
90.8556 2.10998e+06
90.5258 2.06625e+06
90.1976 2.11009e+06
89.8708 2.11254e+06
